ID,age,state,city,gender,education,salaryinthousands,race,year,marital_status
1419,62,Ohio,Green Springs,Female,Associate degree,65,Asian,2016,Divorced
1420,23,Nebrasa,Sprague,Male,High school diploma or equivalent,45,Blac or African American,2014,Married
1421,65,Illinois,Gurnee,Female,Master’s degree,95,Blac or African American,2019,Single
1422,44,Idaho,Rigby,Male,Doctoral degree,55,White,2013,Married
1423,47,Illinois,Chicago,Female,Associate degree,55,Native Hawaiian or Other Pacific Islander,2013,Single
1424,45,Olahoma,Nicoma Par,Female,Master’s degree,85,Blac or African American,2020,Married
1425,58,South Daota,Rowena,Female,Doctoral degree,35,Native Hawaiian or Other Pacific Islander,2020,Married
1426,69,Wisconsin,Medina,Female,"Some college, no degree",35,Native Hawaiian or Other Pacific Islander,2011,Married
1427,23,Oregon,Yoncalla,Female,High school diploma or equivalent,285,Native Hawaiian or Other Pacific Islander,2022,Married
1428,40,Texas,Holliday,Female,Associate degree,55,Blac or African American,2012,Married
1429,20,ansas,Pfeifer,Male,High school diploma or equivalent,55,White,2015,Divorced
1430,52,Ohio,Dayton,Male,"Some college, no degree",105,Native Hawaiian or Other Pacific Islander,2015,Separated
1431,67,Illinois,Harmon,Male,Doctoral degree,95,Native Hawaiian or Other Pacific Islander,2015,Married
1432,60,Delaware,Ocean View,Female,Associate degree,215,White,2011,Divorced
1433,35,West Virginia,Green Spring,Female,Bachelor’s degree,35,White,2020,Single
1434,29,Georgia,Walthourville,Male,Doctoral degree,125,Blac or African American,2014,Single
1435,77,Missouri,Glenallen,Male,High school diploma or equivalent,55,American Indian or Alasa Native,2015,Widowed
1436,67,Tennessee,Altamont,Female,Doctoral degree,105,Native Hawaiian or Other Pacific Islander,2010,Divorced
1437,18,California,Winchester,Male,"Some college, no degree",245,Native Hawaiian or Other Pacific Islander,2015,Married
1438,48,Florida,Oviedo,Male,"Some college, no degree",35,Native Hawaiian or Other Pacific Islander,2020,Divorced
1439,34,Florida,Hialeah,Female,"Some college, no degree",185,Blac or African American,2019,Divorced
1440,73,California,Pinecrest,Female,Doctoral degree,145,White,2020,Married
1441,29,Colorado,Bennett,Female,Master’s degree,125,White,2016,Divorced
1442,63,Massachusetts,Ashland,Female,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2018,Divorced
1443,72,South Carolina,Beaufort,Male,Less than high school,105,Native Hawaiian or Other Pacific Islander,2022,Married
1444,58,Hawaii,Holualoa,Male,Bachelor’s degree,45,Asian,2010,Married
1445,38,Texas,El Paso,Male,Doctoral degree,165,Asian,2010,Divorced
1446,21,California,San Diego,Female,Associate degree,55,Native Hawaiian or Other Pacific Islander,2018,Married
1447,71,California,Diablo,Female,"Some college, no degree",65,White,2019,Widowed
1448,42,Ohio,Rio Grande,Male,Doctoral degree,125,Native Hawaiian or Other Pacific Islander,2021,Divorced
1449,63,North Daota,Michigan,Female,Associate degree,185,Native Hawaiian or Other Pacific Islander,2022,Married
1450,24,California,Riverside,Male,High school diploma or equivalent,45,Blac or African American,2015,Divorced
1451,55,Aransas,New Blaine,Male,Less than high school,165,Blac or African American,2017,Divorced
1452,41,Idaho,Careywood,Female,Master’s degree,55,Native Hawaiian or Other Pacific Islander,2012,Single
1453,47,North Carolina,Charlotte,Female,Less than high school,35,Native Hawaiian or Other Pacific Islander,2011,Divorced
1454,70,North Carolina,Swannanoa,Female,Doctoral degree,85,Blac or African American,2018,Married
1455,35,West Virginia,Ivydale,Male,Master’s degree,95,Asian,2013,Widowed
1456,44,Michigan,Corunna,Female,Associate degree,75,Native Hawaiian or Other Pacific Islander,2015,Single
1457,52,Wisconsin,Wyocena,Male,High school diploma or equivalent,65,White,2021,Married
1458,18,North Carolina,ure Beach,Male,Associate degree,75,White,2017,Single
1459,25,Florida,Seminole,Male,Doctoral degree,185,White,2015,Married
1460,30,Olahoma,Rocy,Female,"Some college, no degree",95,White,2021,Divorced
1461,43,Arizona,Casa Grande,Female,"Some college, no degree",85,Native Hawaiian or Other Pacific Islander,2013,Separated
1462,72,Aransas,Clinton,Female,Master’s degree,215,Blac or African American,2012,Separated
1463,43,Missouri,Montgomery City,Male,Master’s degree,85,White,2018,Divorced
1464,26,Oregon,Bly,Female,High school diploma or equivalent,215,American Indian or Alasa Native,2013,Single
1465,67,Illinois,Gardner,Male,Doctoral degree,75,White,2020,Single
1466,64,Illinois,Cowden,Male,High school diploma or equivalent,65,Blac or African American,2019,Married
1467,40,Nebrasa,Fort Calhoun,Male,Bachelor’s degree,95,White,2018,Separated
1468,36,California,Diamond Springs,Female,Bachelor’s degree,75,Native Hawaiian or Other Pacific Islander,2013,Single
1469,35,Arizona,Show Low,Female,Bachelor’s degree,125,White,2016,Divorced
1470,76,Colorado,Ordway,Male,Less than high school,75,Native Hawaiian or Other Pacific Islander,2020,Married
1471,36,Maine,Oaland,Female,Doctoral degree,45,Blac or African American,2015,Separated
1472,56,entucy,Bradfordsville,Female,"Some college, no degree",95,Native Hawaiian or Other Pacific Islander,2012,Divorced
1473,40,Texas,Rowlett,Male,"Some college, no degree",75,Blac or African American,2021,Married
1474,19,Maryland,Pocomoe City,Male,Master’s degree,35,Native Hawaiian or Other Pacific Islander,2015,Married
1475,22,Ohio,West Portsmouth,Male,Less than high school,245,Native Hawaiian or Other Pacific Islander,2012,Married
1476,53,Olahoma,Billings,Female,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2018,Single
1477,76,Mississippi,Byhalia,Female,Bachelor’s degree,125,Blac or African American,2015,Married
1478,68,New Hampshire,Center Harbor,Female,Doctoral degree,45,White,2020,Divorced
1479,63,New Yor,Falconer,Male,Bachelor’s degree,85,Asian,2016,Married
1480,44,Nevada,Orovada,Female,Less than high school,65,Asian,2010,Married
1481,22,Michigan,Frontier,Female,Master’s degree,215,White,2012,Divorced
1482,38,Wyoming,Sinclair,Female,"Some college, no degree",105,Asian,2022,Married
1483,19,Missouri,Holland,Male,Less than high school,75,Asian,2010,Married
1484,43,Missouri,Excello,Male,High school diploma or equivalent,165,White,2018,Married
1485,56,New Hampshire,Hancoc,Female,Doctoral degree,125,Blac or African American,2017,Married
1486,59,Pennsylvania,Fairless Hills,Female,Bachelor’s degree,285,White,2011,Single
1487,63,Georgia,Alma,Female,Doctoral degree,45,American Indian or Alasa Native,2011,Married
1488,35,Rhode Island,Greenville,Male,Master’s degree,45,American Indian or Alasa Native,2016,Married
1489,32,ansas,Topea,Male,High school diploma or equivalent,85,White,2016,Single
1490,75,Indiana,Indianapolis,Male,High school diploma or equivalent,185,Blac or African American,2019,Married
1491,34,Pennsylvania,Bowmansdale,Male,High school diploma or equivalent,215,Native Hawaiian or Other Pacific Islander,2011,Widowed
1492,48,entucy,Vancleve,Female,Master’s degree,245,Native Hawaiian or Other Pacific Islander,2017,Single
1493,22,Texas,Doucette,Male,Bachelor’s degree,285,Native Hawaiian or Other Pacific Islander,2010,Married
1494,20,Tennessee,Memphis,Female,"Some college, no degree",95,Asian,2019,Married
1495,50,Texas,Fannin,Female,Less than high school,245,Asian,2010,Divorced
1496,73,Iowa,Clemons,Female,High school diploma or equivalent,245,Asian,2015,Married
1497,28,Indiana,Mount Ayr,Female,Master’s degree,185,Native Hawaiian or Other Pacific Islander,2017,Divorced
1498,45,Iowa,Oaland,Female,Bachelor’s degree,285,White,2017,Married
1499,23,New Yor,Painted Post,Male,Doctoral degree,105,American Indian or Alasa Native,2010,Married
1500,34,Texas,Houston,Male,Doctoral degree,75,Asian,2016,Separated
1501,21,Florida,Tallahassee,Male,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2018,Married
1502,21,Minnesota,Monticello,Male,Doctoral degree,65,White,2012,Divorced
1503,50,Pennsylvania,Hidden Valley,Female,Less than high school,165,Blac or African American,2010,Married
1504,44,Wisconsin,Walworth,Male,Master’s degree,165,Blac or African American,2016,Separated
1505,53,Utah,Dammeron Valley,Male,Doctoral degree,215,White,2012,Married
1506,40,Florida,Pensacola,Female,Doctoral degree,285,Native Hawaiian or Other Pacific Islander,2013,Married
1507,27,Iowa,Meriden,Female,Associate degree,95,White,2019,Divorced
1508,40,Nebrasa,Picrell,Female,High school diploma or equivalent,185,Asian,2013,Married
1509,26,District of Columbia,Washington,Female,Doctoral degree,35,Native Hawaiian or Other Pacific Islander,2018,Married
1510,46,Iowa,Hazleton,Male,Master’s degree,285,Native Hawaiian or Other Pacific Islander,2013,Divorced
1511,26,Colorado,Denver,Male,"Some college, no degree",285,Native Hawaiian or Other Pacific Islander,2014,Single
1512,19,Alabama,Red Level,Female,Master’s degree,185,Blac or African American,2021,Divorced
1513,50,Virginia,Max Meadows,Male,Doctoral degree,105,Blac or African American,2022,Married
1514,27,Puerto Rico,Trujillo Alto,Male,Doctoral degree,35,White,2018,Single
1515,55,Massachusetts,Onset,Female,"Some college, no degree",125,Native Hawaiian or Other Pacific Islander,2014,Single
1516,56,Iowa,Monmouth,Female,High school diploma or equivalent,285,Blac or African American,2011,Married
1517,71,New Yor,Collins Center,Male,Associate degree,185,Native Hawaiian or Other Pacific Islander,2016,Single
1518,52,South Daota,Ipswich,Female,Associate degree,285,Asian,2014,Married
1519,48,Pennsylvania,Allentown,Female,Bachelor’s degree,165,Native Hawaiian or Other Pacific Islander,2018,Divorced
1520,28,California,San Francisco,Male,Associate degree,125,Native Hawaiian or Other Pacific Islander,2018,Married
1521,40,New Yor,New Yor,Female,Master’s degree,55,American Indian or Alasa Native,2021,Divorced
1522,38,Indiana,Warsaw,Male,Bachelor’s degree,215,American Indian or Alasa Native,2013,Single
1523,46,Texas,Brownsville,Male,Doctoral degree,85,American Indian or Alasa Native,2021,Divorced
1524,43,Montana,Sweet Grass,Female,Doctoral degree,35,Blac or African American,2019,Divorced
1525,61,Alabama,Mobile,Female,Doctoral degree,215,White,2016,Single
1526,22,Michigan,Mullien,Female,Associate degree,105,Native Hawaiian or Other Pacific Islander,2013,Single
1527,29,Tennessee,Johnson City,Male,Less than high school,245,Blac or African American,2012,Single
1528,41,Georgia,Blythe,Female,"Some college, no degree",45,Native Hawaiian or Other Pacific Islander,2016,Single
1529,73,California,Castaic,Male,Associate degree,75,Blac or African American,2013,Married
1530,20,Virginia,Etlan,Male,Associate degree,35,American Indian or Alasa Native,2018,Married
1531,61,Florida,Gainesville,Female,Less than high school,95,Asian,2018,Divorced
1532,65,Pennsylvania,Trafford,Female,"Some college, no degree",75,White,2015,Divorced
1533,55,California,San Leandro,Male,Less than high school,165,Blac or African American,2016,Married
1534,61,California,Sacramento,Female,Less than high school,245,Blac or African American,2019,Separated
1535,37,North Carolina,Nashville,Female,Bachelor’s degree,45,Asian,2021,Separated
1536,23,Alabama,Montgomery,Male,"Some college, no degree",45,Blac or African American,2013,Married
1537,63,Florida,Malabar,Female,Less than high school,95,Native Hawaiian or Other Pacific Islander,2021,Divorced
1538,75,South Carolina,Pacolet,Female,Doctoral degree,35,Blac or African American,2011,Married
1539,24,Maine,Farmingdale,Male,Less than high school,285,American Indian or Alasa Native,2017,Married
1540,70,Colorado,Phippsburg,Female,"Some college, no degree",95,Blac or African American,2013,Single
1541,46,ansas,Dwight,Male,High school diploma or equivalent,165,White,2016,Married
1542,28,Indiana,Stroh,Female,Less than high school,185,Native Hawaiian or Other Pacific Islander,2020,Divorced
1543,51,California,Dana Point,Female,Less than high school,105,Blac or African American,2022,Married
1544,23,entucy,Chaplin,Male,Less than high school,125,White,2015,Married
1545,28,Oregon,Hood River,Female,Less than high school,165,White,2019,Single
1546,40,Pennsylvania,Annville,Male,Doctoral degree,245,Native Hawaiian or Other Pacific Islander,2020,Single
1547,38,Washington,Vashon,Male,Less than high school,95,Asian,2018,Divorced
1548,49,Hawaii,Captain Coo,Male,High school diploma or equivalent,285,White,2019,Widowed
1549,38,Oregon,Cayuse,Female,Doctoral degree,145,White,2017,Married
1550,60,New Yor,Coblesill,Male,Master’s degree,145,American Indian or Alasa Native,2019,Married
1551,58,Missouri,Springfield,Male,High school diploma or equivalent,35,Asian,2018,Separated
1552,61,Alabama,Montgomery,Female,Master’s degree,65,Blac or African American,2020,Single
1553,47,West Virginia,Havaco,Male,High school diploma or equivalent,165,Native Hawaiian or Other Pacific Islander,2016,Widowed
1554,24,New Yor,Monsey,Female,High school diploma or equivalent,215,Asian,2012,Single
1555,19,Pennsylvania,New Cumberland,Female,Doctoral degree,105,Blac or African American,2010,Divorced
1556,25,California,Temecula,Male,Associate degree,75,Blac or African American,2013,Divorced
1557,39,Montana,Sand Springs,Female,Doctoral degree,165,Native Hawaiian or Other Pacific Islander,2022,Married
1558,52,Aransas,West Ridge,Male,Doctoral degree,75,White,2016,Divorced
1559,30,Texas,Rochester,Female,Doctoral degree,285,American Indian or Alasa Native,2017,Divorced
1560,38,New Yor,Staten Island,Female,Less than high school,125,White,2013,Married
1561,33,Maryland,Showell,Female,Doctoral degree,55,White,2019,Married
1562,43,North Carolina,Asheville,Female,Less than high school,35,Asian,2010,Divorced
1563,52,Missouri,Middle Broo,Female,Doctoral degree,185,White,2021,Married
1564,73,California,Pasadena,Female,Less than high school,145,Native Hawaiian or Other Pacific Islander,2020,Married
1565,39,Missouri,Newburg,Male,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2013,Married
1566,36,Georgia,Atlanta,Female,High school diploma or equivalent,95,American Indian or Alasa Native,2010,Divorced
1567,24,Texas,Thrall,Female,Master’s degree,45,Asian,2022,Married
1568,31,Aransas,Taylor,Male,Less than high school,245,Native Hawaiian or Other Pacific Islander,2013,Single
1569,38,Wisconsin,Brule,Female,Less than high school,55,Native Hawaiian or Other Pacific Islander,2013,Separated
1570,71,Hawaii,Hanalei,Female,"Some college, no degree",105,White,2020,Divorced
1571,28,Michigan,Michigan Center,Female,Master’s degree,185,Native Hawaiian or Other Pacific Islander,2019,Married
1572,71,Hawaii,Maunaloa,Female,"Some college, no degree",75,Native Hawaiian or Other Pacific Islander,2014,Separated
1573,68,Pennsylvania,Lattimer Mines,Female,Bachelor’s degree,125,White,2016,Divorced
1574,29,Louisiana,Lafayette,Male,Master’s degree,285,Asian,2017,Single
1575,47,Aransas,ingston,Female,High school diploma or equivalent,45,Native Hawaiian or Other Pacific Islander,2010,Single
1576,57,Connecticut,New Haven,Male,"Some college, no degree",145,White,2011,Divorced
1577,37,New Jersey,Camden,Male,High school diploma or equivalent,95,Blac or African American,2015,Divorced
1578,21,Texas,Houston,Female,Doctoral degree,145,American Indian or Alasa Native,2016,Single
1579,66,Texas,Veribest,Female,Less than high school,65,White,2013,Divorced
1580,25,South Daota,Rapid City,Male,Bachelor’s degree,75,Blac or African American,2019,Married
1581,28,West Virginia,Cassville,Female,Master’s degree,245,White,2021,Divorced
1582,33,entucy,Lexington,Male,Less than high school,145,Native Hawaiian or Other Pacific Islander,2018,Married
1583,26,Nebrasa,Daota City,Male,Less than high school,165,White,2010,Married
1584,39,New Yor,Newburgh,Male,Associate degree,165,White,2011,Married
1585,66,New Jersey,Ewan,Female,Less than high school,95,Blac or African American,2010,Separated
1586,27,North Carolina,Hudson,Male,Master’s degree,85,White,2015,Divorced
1587,52,Tennessee,Sparta,Male,Associate degree,95,Blac or African American,2011,Divorced
1588,72,Washington,Steilacoom,Female,Bachelor’s degree,145,Blac or African American,2020,Married
1589,73,New Yor,Moriah Center,Female,Bachelor’s degree,35,Native Hawaiian or Other Pacific Islander,2016,Married
1590,51,New Yor,Staten Island,Female,Doctoral degree,65,Native Hawaiian or Other Pacific Islander,2012,Single
1591,48,Iowa,McCausland,Male,Less than high school,55,White,2015,Single
1592,52,Massachusetts,Lowell,Female,Less than high school,45,White,2015,Divorced
1593,59,Florida,Ebro,Female,Less than high school,55,Asian,2021,Married
1594,33,Illinois,Hettic,Female,Associate degree,85,American Indian or Alasa Native,2011,Married
1595,39,Minnesota,Belview,Female,High school diploma or equivalent,95,American Indian or Alasa Native,2020,Divorced
1596,72,Virginia,Staunton,Female,High school diploma or equivalent,245,White,2015,Divorced
1597,74,Indiana,Richland,Male,Less than high school,85,Blac or African American,2018,Separated
1598,45,Florida,Ochopee,Female,Bachelor’s degree,285,White,2021,Married
1599,50,Pennsylvania,Yatesboro,Male,"Some college, no degree",45,American Indian or Alasa Native,2012,Divorced
1600,43,Georgia,eysville,Male,Associate degree,245,Blac or African American,2011,Divorced
1601,19,Wisconsin,Eldorado,Male,Less than high school,105,Native Hawaiian or Other Pacific Islander,2015,Married
1602,56,Pennsylvania,Newton Hamilton,Female,Master’s degree,95,Native Hawaiian or Other Pacific Islander,2014,Married
1603,22,California,Columbia,Female,Less than high school,65,Blac or African American,2013,Married
1604,56,entucy,Crofton,Female,Bachelor’s degree,125,White,2011,Widowed
1605,72,Connecticut,Monroe,Female,Bachelor’s degree,165,White,2018,Single
1606,61,Aransas,Rosston,Female,High school diploma or equivalent,75,Native Hawaiian or Other Pacific Islander,2011,Separated
1607,59,California,West Hills,Male,Bachelor’s degree,215,Native Hawaiian or Other Pacific Islander,2016,Married
1608,32,Georgia,Cisco,Female,Bachelor’s degree,185,Native Hawaiian or Other Pacific Islander,2017,Married
1609,61,Florida,Satsuma,Female,"Some college, no degree",105,Native Hawaiian or Other Pacific Islander,2011,Married
1610,26,Ohio,West Lafayette,Female,Doctoral degree,65,Native Hawaiian or Other Pacific Islander,2021,Single
1611,36,Washington,Parland,Male,Master’s degree,285,Native Hawaiian or Other Pacific Islander,2013,Divorced
1612,49,Olahoma,Council Hill,Male,Associate degree,125,White,2017,Married
1613,24,Connecticut,W Hartford,Male,Less than high school,215,Native Hawaiian or Other Pacific Islander,2013,Widowed
1614,68,Hawaii,Maawao,Male,Master’s degree,245,Blac or African American,2019,Widowed
1615,24,Tennessee,Rutledge,Male,Doctoral degree,145,White,2015,Married
1616,55,Michigan,Maple City,Female,Bachelor’s degree,95,Native Hawaiian or Other Pacific Islander,2011,Divorced
1617,54,California,Mather,Female,Bachelor’s degree,165,Blac or African American,2011,Married
1618,37,Georgia,Dallas,Male,"Some college, no degree",45,White,2021,Married
1619,71,Rhode Island,Coventry,Male,"Some college, no degree",215,Native Hawaiian or Other Pacific Islander,2015,Single
1620,73,Tennessee,Huntsville,Male,Bachelor’s degree,45,White,2012,Married
1621,49,South Daota,Owana,Male,Master’s degree,125,Native Hawaiian or Other Pacific Islander,2012,Married
1622,29,California,Los Olivos,Female,"Some college, no degree",95,American Indian or Alasa Native,2010,Divorced
1623,46,Alabama,Birmingham,Male,Associate degree,45,Blac or African American,2011,Divorced
1624,71,New Yor,Armon,Female,Associate degree,165,Asian,2011,Single
1625,65,Texas,Stafford,Female,Less than high school,145,White,2013,Divorced
1626,53,Pennsylvania,Emigsville,Female,Bachelor’s degree,75,Blac or African American,2010,Single
1627,25,New Yor,Schenectady,Male,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2013,Separated
1628,60,North Carolina,Lowland,Female,High school diploma or equivalent,75,Blac or African American,2010,Single
1629,74,New Mexico,Santa Fe,Female,Doctoral degree,35,White,2011,Divorced
1630,73,Utah,Moroni,Female,Associate degree,285,White,2020,Married
1631,25,Ohio,Hallsville,Female,High school diploma or equivalent,105,Native Hawaiian or Other Pacific Islander,2014,Divorced
1632,25,South Daota,Harrold,Male,Doctoral degree,85,Native Hawaiian or Other Pacific Islander,2016,Divorced
1633,72,Minnesota,Marshall,Female,High school diploma or equivalent,65,Blac or African American,2017,Divorced
1634,68,California,Alpine,Female,High school diploma or equivalent,95,Native Hawaiian or Other Pacific Islander,2018,Single
1635,52,Ohio,Toledo,Female,High school diploma or equivalent,125,Native Hawaiian or Other Pacific Islander,2012,Divorced
1636,65,Mississippi,Jacson,Male,Associate degree,165,Blac or African American,2013,Single
1637,55,Georgia,Thomaston,Female,Less than high school,95,Asian,2019,Married
1638,43,Massachusetts,Springfield,Female,Bachelor’s degree,35,Native Hawaiian or Other Pacific Islander,2018,Married
1639,67,Nebrasa,Syracuse,Female,High school diploma or equivalent,105,Blac or African American,2018,Divorced
1640,48,Maine,Meddybemps,Male,"Some college, no degree",145,Blac or African American,2019,Divorced
1641,47,Aransas,Jacsonport,Female,Bachelor’s degree,125,Native Hawaiian or Other Pacific Islander,2012,Married
1642,68,New Yor,Mount Vernon,Female,Less than high school,105,White,2013,Divorced
1643,32,Connecticut,Westport,Male,Doctoral degree,145,Blac or African American,2018,Widowed
1644,66,Virginia,Portsmouth,Male,Less than high school,105,Native Hawaiian or Other Pacific Islander,2018,Divorced
1645,61,Illinois,Herrin,Male,"Some college, no degree",215,Native Hawaiian or Other Pacific Islander,2017,Married
1646,22,ansas,Mulvane,Female,Doctoral degree,105,White,2020,Single
1647,74,North Carolina,Charlotte,Male,Associate degree,165,Native Hawaiian or Other Pacific Islander,2011,Married
1648,59,Tennessee,enton,Male,"Some college, no degree",285,American Indian or Alasa Native,2014,Single
1649,29,Missouri,Haw Point,Male,High school diploma or equivalent,185,Native Hawaiian or Other Pacific Islander,2011,Married
1650,34,Minnesota,Easton,Female,"Some college, no degree",125,White,2019,Divorced
1651,42,Florida,Orlando,Male,High school diploma or equivalent,185,American Indian or Alasa Native,2014,Divorced
1652,57,Olahoma,Wanette,Male,Bachelor’s degree,65,American Indian or Alasa Native,2010,Divorced
1653,73,Utah,Torrey,Male,High school diploma or equivalent,105,White,2011,Widowed
1654,74,Puerto Rico,Yabucoa,Male,Bachelor’s degree,65,Native Hawaiian or Other Pacific Islander,2014,Married
1655,75,South Daota,Sioux Falls,Female,High school diploma or equivalent,245,Native Hawaiian or Other Pacific Islander,2016,Married
1656,18,Connecticut,Ellington,Female,Bachelor’s degree,55,White,2013,Divorced
1657,67,Wisconsin,Valders,Male,Master’s degree,55,Native Hawaiian or Other Pacific Islander,2012,Married
1658,73,Delaware,Newar,Female,Doctoral degree,145,White,2019,Single
1659,53,Olahoma,Mounds,Male,Master’s degree,185,Native Hawaiian or Other Pacific Islander,2015,Divorced
1660,34,New Jersey,New Vernon,Male,Master’s degree,85,Asian,2013,Married
1661,64,Indiana,Indianapolis,Male,Less than high school,215,Native Hawaiian or Other Pacific Islander,2011,Divorced
1662,42,California,Hollister,Female,Associate degree,35,Native Hawaiian or Other Pacific Islander,2019,Divorced
1663,63,Florida,Inglis,Female,High school diploma or equivalent,95,American Indian or Alasa Native,2017,Married
1664,32,Utah,Layton,Male,High school diploma or equivalent,215,White,2010,Married
1665,47,Nebrasa,Deweese,Female,Bachelor’s degree,125,White,2017,Married
1666,69,Rhode Island,Warwic,Male,High school diploma or equivalent,145,Native Hawaiian or Other Pacific Islander,2013,Single
1667,66,Louisiana,Vinton,Male,"Some college, no degree",145,White,2012,Married
1668,19,Pennsylvania,Strabane,Female,Master’s degree,215,White,2012,Married
1669,46,Louisiana,Fluer,Male,Master’s degree,65,Native Hawaiian or Other Pacific Islander,2015,Married
1670,48,New Jersey,Maple Shade,Female,Master’s degree,245,White,2015,Divorced
1671,69,North Daota,Max,Male,High school diploma or equivalent,35,Blac or African American,2020,Divorced
1672,48,Ohio,Diamond,Female,Master’s degree,95,American Indian or Alasa Native,2012,Divorced
1673,60,New Yor,Minoa,Female,Master’s degree,125,American Indian or Alasa Native,2010,Single
1674,47,Illinois,Whittington,Male,Doctoral degree,165,White,2019,Married
1675,45,Maryland,Mechanicsville,Female,High school diploma or equivalent,75,White,2021,Married
1676,57,Minnesota,Talmoon,Male,High school diploma or equivalent,245,Native Hawaiian or Other Pacific Islander,2011,Married
1677,70,North Daota,Solen,Male,Master’s degree,55,Blac or African American,2011,Single
1678,48,Alasa,Manley Hot Springs,Male,"Some college, no degree",245,Blac or African American,2011,Single
1679,29,Maryland,Greenbelt,Female,Doctoral degree,215,Native Hawaiian or Other Pacific Islander,2011,Single
1680,41,Washington,Federal Way,Female,Master’s degree,215,White,2017,Divorced
1681,28,Missouri,Vandalia,Female,Bachelor’s degree,45,Blac or African American,2014,Divorced
1682,53,New Yor,Rye,Female,Master’s degree,105,American Indian or Alasa Native,2020,Single
1683,63,Washington,Seiu,Male,Doctoral degree,65,Blac or African American,2018,Married
1684,34,ansas,Beaumont,Female,Bachelor’s degree,185,Asian,2015,Single
1685,20,Massachusetts,Groton,Male,High school diploma or equivalent,95,Native Hawaiian or Other Pacific Islander,2021,Separated
1686,26,South Daota,Willow Lae,Female,Master’s degree,125,Asian,2011,Married
1687,32,Rhode Island,East Providence,Female,Bachelor’s degree,65,White,2014,Single
1688,56,Washington,Bellingham,Female,Less than high school,85,White,2021,Married
1689,26,Maine,Dixmont,Female,Associate degree,125,Asian,2020,Married
1690,53,California,Fresno,Female,Master’s degree,185,White,2013,Single
1691,56,Mississippi,Perinston,Female,High school diploma or equivalent,165,Native Hawaiian or Other Pacific Islander,2011,Divorced
1692,22,Missouri,Eudora,Female,Bachelor’s degree,245,White,2018,Divorced
1693,54,New Jersey,Wrightstown,Female,High school diploma or equivalent,35,White,2020,Single
1694,34,Ohio,Gallipolis,Female,"Some college, no degree",105,Blac or African American,2022,Married
1695,23,Montana,Fort Benton,Female,Doctoral degree,215,Blac or African American,2016,Single
1696,48,North Carolina,Hicory,Male,Less than high school,215,White,2017,Single
1697,31,Maryland,White Hall,Female,Associate degree,185,Native Hawaiian or Other Pacific Islander,2019,Single
1698,69,Georgia,Saint George,Male,High school diploma or equivalent,105,American Indian or Alasa Native,2011,Single
1699,35,Arizona,Sahuarita,Female,Master’s degree,285,Asian,2011,Married
1700,18,New Yor,Marietta,Female,Less than high school,125,White,2020,Divorced
1701,71,Washington,Pacwood,Male,Doctoral degree,75,White,2021,Married
1702,69,Arizona,Apache Junction,Male,"Some college, no degree",245,White,2010,Married
1703,54,Texas,Roanoe,Male,High school diploma or equivalent,165,Asian,2018,Single
1704,35,Idaho,Cambridge,Female,"Some college, no degree",45,Blac or African American,2010,Married
1705,20,Virginia,Charlottesville,Male,Associate degree,125,Asian,2022,Separated
1706,25,Virginia,Franlin,Male,"Some college, no degree",45,White,2020,Married
1707,59,Georgia,Stocton,Female,Doctoral degree,125,Asian,2010,Divorced
1708,24,Missouri,Old Appleton,Male,Doctoral degree,45,Asian,2017,Widowed
1709,55,Pennsylvania,Tarentum,Male,High school diploma or equivalent,35,Asian,2019,Divorced
1710,20,New Yor,Manhasset,Female,"Some college, no degree",125,American Indian or Alasa Native,2021,Divorced
1711,19,Nebrasa,ennard,Female,"Some college, no degree",215,White,2011,Married
1712,41,Virginia,Macon,Female,Master’s degree,65,Blac or African American,2014,Divorced
1713,75,California,Moreno Valley,Male,"Some college, no degree",65,Blac or African American,2014,Divorced
1714,69,California,Soquel,Male,"Some college, no degree",85,Blac or African American,2013,Single
1715,53,Maine,Poland,Female,Associate degree,65,White,2015,Married
1716,72,California,Long Beach,Female,"Some college, no degree",285,American Indian or Alasa Native,2018,Divorced
1717,32,California,Clovis,Male,"Some college, no degree",65,American Indian or Alasa Native,2021,Single
1718,77,Michigan,Rothbury,Female,Less than high school,75,American Indian or Alasa Native,2021,Single
1719,45,Ohio,Bartlett,Male,Doctoral degree,75,White,2016,Single
1720,24,Maryland,Westminster,Male,High school diploma or equivalent,165,Asian,2011,Divorced
1721,24,Oregon,Independence,Female,High school diploma or equivalent,245,Native Hawaiian or Other Pacific Islander,2014,Divorced
1722,71,Wyoming,Wyarno,Female,Master’s degree,85,American Indian or Alasa Native,2022,Divorced
1723,51,Alabama,Birmingham,Male,High school diploma or equivalent,55,Blac or African American,2011,Single
1724,46,California,Phillipsville,Female,Associate degree,55,Native Hawaiian or Other Pacific Islander,2021,Married
1725,69,North Carolina,ernersville,Female,Doctoral degree,145,American Indian or Alasa Native,2016,Separated
1726,23,Tennessee,Luttrell,Female,High school diploma or equivalent,165,Asian,2019,Married
1727,65,entucy,Mount Hermon,Female,Bachelor’s degree,85,White,2021,Married
